language,extension,include_final
TLA,tla,TRUE
Ring,ring,TRUE
STAR,star,TRUE
Monkey,monkey,TRUE
Monkey,monkey2,TRUE
Monkey,wx,TRUE
Monkey,cxs,TRUE
Boogie,bpl,FALSE
RPC,x,TRUE
NASL,inc,FALSE
NASL,nasl,TRUE
Macaulay2,m2,TRUE
Macaulay2,txt,TRUE
Pony,pony,TRUE
Pony,header,TRUE
Pony,,TRUE
Oz,oz,TRUE
LTspice Symbol,asy,TRUE
LTspice Symbol,txt,TRUE
Singularity,,TRUE
Browserslist,browserslistrc,TRUE
Browserslist,,TRUE
ATS,dats,TRUE
ATS,sats,TRUE
ATS,hats,TRUE
Genshi,kid,TRUE
Berry,be,TRUE
APL,apl,TRUE
APL,dyalog,TRUE
Dafny,dfy,TRUE
SSH Config,,TRUE
Terra,t,TRUE
Terra,,TRUE
Nemerle,n,TRUE
LSL,lsl,TRUE
LSL,lslp,TRUE
ASN.1,asn,TRUE
ASN.1,asn1,TRUE
Asymptote,asy,TRUE
Witcher Script,ws,TRUE
Witcher Script,,TRUE
Zephir,zep,TRUE
Uno,uno,TRUE
2-Dimensional Array,2da,TRUE
RenderScript,rs,TRUE
RenderScript,rsh,TRUE
RenderScript,go,TRUE
E,e,TRUE
E,js,TRUE
E,emaker,TRUE
E,map,TRUE
E,,TRUE
E,updoc,TRUE
ECL,ecl,TRUE
EmberScript,em,TRUE
Closure Templates,soy,TRUE
Brightscript,brs,TRUE
REXX,rexx,TRUE
REXX,rex,TRUE
REXX,,TRUE
Frege,fr,TRUE
Csound,orc,TRUE
Csound,udo,TRUE
FLUX,fx,TRUE
FLUX,flux,TRUE
SugarSS,sss,TRUE
Zeek,bro,TRUE
Zeek,zeek,TRUE
Inform 7,i7x,TRUE
Inform 7,ni,TRUE
Type Language,tl,TRUE
XS,xs,TRUE
Filebench WML,f,TRUE
CAP CDS,cds,TRUE
CAP CDS,predex,TRUE
DataWeave,dwl,TRUE
MiniYAML,yaml,TRUE
OpenRC runscript,initd,TRUE
OpenRC runscript,,TRUE
OpenRC runscript,init,TRUE
OpenRC runscript,openrc,TRUE
OpenRC runscript,in,TRUE
OpenRC runscript,d,TRUE
OpenRC runscript,rc,TRUE
OpenRC runscript,sh,TRUE
OpenRC runscript,rc6,TRUE
Q#,qs,TRUE
Propeller Spin,spin,TRUE
Spline Font Database,sfd,TRUE
Soong,bp,TRUE
Dylan,dylan,TRUE
Dylan,lid,TRUE
Dylan,dyl,TRUE
Dylan,intr,TRUE
XC,xc,TRUE
